J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2007
9260.0,,0.344,-9.57,29.87,33371.79,metal loss,External,28.0,0.096,,,0.75,1.38,06:52:00,,,0.7,139.36,,MFL-A/XT,,1160.0,65000.0,,1342.0,1467.52,2037.61,1538.72,2136.47,1539.72,2137.86,0.75,1.84,180.0,10171.721592,ft,19.049999999999997,in,35.05199999999999,in,28.0,180.0,,True,True,False,10203.523793218592
9260.0,,0.344,-9.6,29.83,33371.83,metal loss,External,10.0,0.034,,,0.98,0.87,06:18:00,,,0.7,139.36,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,10171.733784000002,ft,24.892,in,22.098,in,10.0,180.0,,True,True,False,10203.535991077053
9260.0,,0.344,-9.91,29.52,33372.14,metal loss,External,12.0,0.041,,,0.83,1.58,06:26:00,,,0.7,139.34,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,10171.828272,ft,21.081999999999997,in,40.132,in,12.0,180.0,,True,True,False,10203.63052448011
9260.0,,0.344,-38.48,0.95,33400.71,metal loss,External,14.0,0.048,,,1.58,1.42,07:34:00,,,0.7,137.95,,MFL-A/XT,,1160.0,65000.0,,1342.0,1460.89,2028.42,,,,,,,210.0,10180.536408,ft,40.132,in,36.068,in,14.0,210.0,,True,True,False,10212.342844884466
9270.0,40.01,0.344,,,33401.66,GirthWeld,,,,,,,,,,11.0,0.7,137.9,,,,1160.0,65000.0,,1342.0,,,,,,,,,,10180.825968000001,ft,,in,,in,,,,False,False,False,10212.632544022868
9270.0,,0.344,-1.03,38.98,33402.69,metal loss,External,31.0,0.107,,,0.59,0.94,06:40:00,,,0.7,137.85,,MFL-A/XT,,1160.0,65000.0,,1342.0,1469.94,2040.98,1541.41,2140.21,1542.22,2141.34,0.75,1.85,180.0,10181.139912,ft,14.985999999999999,in,23.875999999999998,in,31.0,180.0,,True,True,False,10212.946638878188
9270.0,,0.344,-23.56,16.45,33425.22,metal loss,External,23.0,0.079,,,0.63,1.1,05:32:00,,,0.7,136.93,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.13,2042.62,1542.88,2142.25,1543.31,2142.85,0.75,1.85,150.0,10188.007056,ft,16.002,in,27.94,in,23.0,150.0,,True,True,False,10219.817082655232
9270.0,,0.344,-29.87,10.14,33431.52,metal loss,External,46.0,0.158,,,0.67,0.87,05:34:00,,,0.7,136.75,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.96,2031.29,1532.62,2128.01,1535.14,2131.5,0.76,1.83,150.0,10189.927296,ft,17.018,in,22.098,in,46.0,150.0,,True,True,False,10221.738245362527
9270.0,,0.344,-34.59,5.42,33436.25,cluster,External,21.0,0.072,,,2.18,1.3,05:56:00,,,0.7,136.62,,,,1160.0,65000.0,,1342.0,1436.27,1994.22,1502.48,2086.15,1512.53,2100.11,0.77,1.8,150.0,10191.369,ft,55.372,in,33.019999999999996,in,21.0,150.0,,True,True,False,10223.180642125308
9270.0,,0.344,-38.73,1.27,33440.39,metal loss,External,37.0,0.127,,,0.75,1.14,05:35:00,,,0.7,136.53,,MFL-A/XT,,1160.0,65000.0,,1342.0,1463.84,2032.51,1534.17,2130.15,1536.08,2132.81,0.76,1.84,150.0,10192.630872,ft,19.049999999999997,in,28.955999999999996,in,37.0,150.0,,True,True,False,10224.443120475817
9270.0,,0.344,-38.96,1.05,33440.62,cluster,External,62.0,0.213,,,3.29,3.96,05:29:00,,,0.7,136.52,,,,1160.0,65000.0,,1342.0,1216.34,1688.86,1200.87,1667.37,1361.58,1890.52,0.97,1.44,150.0,10192.700976000002,ft,83.566,in,100.58399999999999,in,62.0,150.0,,True,True,False,10224.513258161958
9270.0,,0.344,-39.45,0.55,33441.11,metal loss,External,22.0,0.076,,,1.14,1.61,05:32:00,,,0.7,136.51,,MFL-A/XT,,1160.0,65000.0,,1342.0,1461.73,2029.58,1532.31,2127.58,1533.42,2129.12,0.76,1.83,150.0,10192.850328,ft,28.955999999999996,in,40.894,in,22.0,150.0,,True,True,False,10224.66268192808
9270.0,,0.344,-39.59,0.42,33441.24,metal loss,External,11.0,0.038,,,0.79,1.42,05:32:00,,,0.7,136.51,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,10192.889952,ft,20.066,in,36.068,in,11.0,150.0,,True,True,False,10224.70232496807
9270.0,,0.344,-39.94,0.07,33441.59,metal loss,External,23.0,0.079,,,0.79,0.63,05:44:00,affecting girth weld,,0.7,136.5,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.69,2039.24,1540.15,2138.47,1540.79,2139.34,0.75,1.84,150.0,10192.996632,ft,20.066,in,16.002,in,23.0,150.0,,True,True,False,10224.809056229587
9270.0,,0.344,-39.94,0.07,33441.6,metal loss,External,33.0,0.114,,,0.79,0.59,06:13:00,affecting girth weld,,0.7,136.5,,MFL-A/XT,,1160.0,65000.0,,1342.0,1464.19,2033.0,1534.75,2130.96,1536.41,2133.27,0.76,1.84,180.0,10192.99968,ft,20.066,in,14.985999999999999,in,33.0,180.0,,True,True,False,10224.812105694202
9270.0,,0.344,-40.0,0.01,33441.66,metal loss,External,35.0,0.12,,,1.15,2.21,05:55:00,affecting girth weld,,0.7,136.5,,MFL-A/XT,,1160.0,65000.0,,1342.0,1450.29,2013.7,1518.37,2108.22,1522.17,2113.5,0.76,1.82,150.0,10193.017968000002,ft,29.209999999999997,in,56.13399999999999,in,35.0,150.0,,True,True,False,10224.830402481892
9280.0,40.07,0.344,,,33441.67,GirthWeld,,,,,,,,,,56.0,1.0,136.5,,,,1160.0,65000.0,,1342.0,,,,,,,,,,10193.021016,ft,,in,,in,,,,False,False,False,10224.833451946506
9280.0,,0.344,-2.29,37.78,33443.96,metal loss,External,17.0,0.058,,,0.98,1.5,06:25:00,,,1.0,136.45,,MFL-A/XT,,1160.0,65000.0,,1342.0,1467.97,2038.24,,,,,,,180.0,10193.719008,ft,24.892,in,38.099999999999994,in,17.0,180.0,,True,True,False,10225.531779343284
9280.0,,0.344,-10.83,29.24,33452.49,metal loss,External,14.0,0.048,,,0.47,0.94,05:01:00,,,1.0,136.25,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.61,2047.47,,,,,,,150.0,10196.318952,ft,11.937999999999999,in,23.875999999999998,in,14.0,150.0,,True,True,False,10228.13297265967
9280.0,,0.344,-11.71,28.35,33453.38,metal loss,External,17.0,0.058,,,1.38,1.89,04:41:00,,,1.0,136.23,,MFL-A/XT,,1160.0,65000.0,,1342.0,1461.04,2028.61,,,,,,,120.0,10196.590224,ft,35.05199999999999,in,48.00599999999999,in,17.0,120.0,,True,True,False,10228.404375010383
9280.0,,0.344,-12.38,27.69,33454.04,metal loss,External,15.0,0.052,,,0.91,1.38,04:26:00,,,1.0,136.21,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.14,2041.26,,,,,,,120.0,10196.791392000001,ft,23.114,in,35.05199999999999,in,15.0,120.0,,True,True,False,10228.60563967496
9280.0,,0.344,-12.62,27.45,33454.28,metal loss,External,15.0,0.052,,,0.55,1.1,04:32:00,,,1.0,136.21,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.83,2046.38,,,,,,,120.0,10196.864544,ft,13.97,in,27.94,in,15.0,120.0,,True,True,False,10228.678826825711
9280.0,,0.344,-14.11,25.96,33455.77,metal loss,External,13.0,0.045,,,0.67,1.73,04:27:00,,,1.0,136.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.24,2045.55,,,,,,,120.0,10197.318696,ft,17.018,in,43.942,in,13.0,120.0,,True,True,False,10229.13319705331
9280.0,,0.344,-14.33,25.73,33456.0,metal loss,External,24.0,0.083,,,1.02,1.69,04:19:00,,,1.0,136.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.85,2031.13,1533.52,2129.26,1534.75,2130.96,0.76,1.84,120.0,10197.3888,ft,25.907999999999998,in,42.925999999999995,in,24.0,120.0,,True,True,False,10229.20333473945
9280.0,,0.344,-14.59,25.48,33456.25,metal loss,External,12.0,0.041,,,0.71,1.1,04:33:00,,,1.0,136.16,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10197.465,ft,18.034,in,27.94,in,12.0,120.0,,True,True,False,10229.279571354818
9280.0,,0.344,-16.11,23.95,33457.78,metal loss,External,10.0,0.034,,,0.43,0.87,07:35:00,,,1.0,136.12,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,10197.931344,ft,10.921999999999999,in,22.098,in,10.0,210.0,,True,True,False,10229.746139440877
9280.0,,0.344,-17.02,23.05,33458.68,metal loss,External,13.0,0.045,,,0.91,1.5,07:34:00,,,1.0,136.09,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.02,2042.48,,,,,,,210.0,10198.205664000001,ft,23.114,in,38.099999999999994,in,13.0,210.0,,True,True,False,10230.020591256205
9280.0,,0.344,-17.04,23.03,33458.7,metal loss,External,26.0,0.089,,,0.98,1.77,04:11:00,,,1.0,136.09,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.75,2030.99,1533.35,2129.02,1534.75,2130.96,0.76,1.84,120.0,10198.21176,ft,24.892,in,44.958,in,26.0,120.0,,True,True,False,10230.026690185434
9280.0,,0.344,-17.61,22.46,33459.28,metal loss,External,17.0,0.058,,,0.47,1.1,07:34:00,,,1.0,136.07,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.23,2046.93,,,,,,,210.0,10198.388544,ft,11.937999999999999,in,27.94,in,17.0,210.0,,True,True,False,10230.20355913309
9280.0,,0.344,-18.41,21.66,33460.07,metal loss,External,17.0,0.058,,,1.3,1.61,07:42:00,,,1.0,136.05,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.4,2030.51,,,,,,,210.0,10198.629336,ft,33.019999999999996,in,40.894,in,17.0,210.0,,True,True,False,10230.444466837655
9280.0,,0.344,-19.08,20.99,33460.75,metal loss,External,10.0,0.034,,,0.63,1.34,04:02:00,,,1.0,136.02,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10198.8366,ft,16.002,in,34.036,in,10.0,120.0,,True,True,False,10230.65183043146
9280.0,,0.344,-27.86,12.21,33469.53,metal loss,External,14.0,0.048,,,0.63,1.02,04:32:00,,,1.0,135.88,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.42,2045.8,,,,,,,120.0,10201.512744,ft,16.002,in,25.907999999999998,in,14.0,120.0,,True,True,False,10233.329260363214
9280.0,,0.344,-28.01,12.06,33469.68,metal loss,External,14.0,0.048,,,0.59,1.69,04:24:00,,,1.0,135.88,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.62,2046.09,,,,,,,120.0,10201.558464,ft,14.985999999999999,in,42.925999999999995,in,14.0,120.0,,True,True,False,10233.375002332436
9280.0,,0.344,-28.2,11.87,33469.86,metal loss,External,16.0,0.055,,,0.79,0.63,04:59:00,,,1.0,135.88,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.09,2042.58,,,,,,,120.0,10201.613328000001,ft,20.066,in,16.002,in,16.0,120.0,,True,True,False,10233.429892695502
9280.0,,0.344,-28.76,11.3,33470.43,metal loss,External,12.0,0.041,,,1.18,1.42,04:23:00,,,1.0,135.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10201.787064,ft,29.971999999999998,in,36.068,in,12.0,120.0,,True,True,False,10233.603712178541
9280.0,,0.344,-28.95,11.12,33470.61,metal loss,External,10.0,0.034,,,0.47,0.75,04:25:00,,,1.0,135.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10201.841928,ft,11.937999999999999,in,19.049999999999997,in,10.0,120.0,,True,True,False,10233.658602541607
9280.0,,0.344,-30.63,9.44,33472.3,metal loss,External,10.0,0.034,,,0.98,2.21,03:55:00,,,1.0,135.94,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,90.0,10202.35704,ft,24.892,in,56.13399999999999,in,10.0,90.0,,True,True,False,10234.173962061503
9280.0,,0.344,-30.74,9.33,33472.4,metal loss,External,12.0,0.041,,,0.87,1.14,04:20:00,,,1.0,135.95,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10202.38752,ft,22.098,in,28.955999999999996,in,12.0,120.0,,True,True,False,10234.204456707648
9280.0,,0.344,-31.8,8.26,33473.47,metal loss,External,23.0,0.079,,,1.26,2.17,03:48:00,,,1.0,135.99,,MFL-A/XT,,1160.0,65000.0,,1342.0,1457.97,2024.35,1527.98,2121.56,1529.52,2123.7,0.76,1.83,90.0,10202.713656000002,ft,32.004,in,55.117999999999995,in,23.0,90.0,,True,True,False,10234.530749421428
9280.0,,0.344,-32.27,7.79,33473.94,metal loss,External,18.0,0.062,,,0.63,1.97,04:04:00,,,1.0,136.02,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.38,2044.36,,,,,,,120.0,10202.856912000001,ft,16.002,in,50.038,in,18.0,120.0,,True,True,False,10234.674074258322
9280.0,,0.344,-32.41,7.66,33474.08,metal loss,External,18.0,0.062,,,0.55,1.38,03:56:00,,,1.0,136.02,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.42,2045.81,,,,,,,90.0,10202.899584,ft,13.97,in,35.05199999999999,in,18.0,90.0,,True,True,False,10234.71676676293
9280.0,,0.344,-32.73,7.33,33474.4,metal loss,External,14.0,0.048,,,1.73,1.65,04:20:00,,,1.0,136.04,,MFL-A/XT,,1160.0,65000.0,,1342.0,1458.08,2024.51,,,,,,,120.0,10202.997120000002,ft,43.942,in,41.91,in,14.0,120.0,,True,True,False,10234.814349630602
9280.0,,0.344,-32.73,7.33,33474.4,metal loss,External,13.0,0.045,,,0.79,1.1,03:50:00,,,1.0,136.04,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.14,2044.03,,,,,,,90.0,10202.997120000002,ft,20.066,in,27.94,in,13.0,90.0,,True,True,False,10234.814349630602
9280.0,,0.344,-32.79,7.27,33474.46,metal loss,External,12.0,0.041,,,1.85,0.75,07:13:00,,,1.0,136.04,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,10203.015408000001,ft,46.99,in,19.049999999999997,in,12.0,210.0,,True,True,False,10234.83264641829
9280.0,,0.344,-32.82,7.25,33474.48,metal loss,External,31.0,0.107,,,1.77,1.77,07:56:00,,,1.0,136.04,,MFL-A/XT,,1160.0,65000.0,,1342.0,1430.2,1985.8,1494.75,2075.43,1500.72,2083.72,0.78,1.79,210.0,10203.021504000002,ft,44.958,in,44.958,in,31.0,210.0,,True,True,False,10234.83874534752
9280.0,,0.344,-32.82,7.25,33474.49,metal loss,External,14.0,0.048,,,1.34,0.94,07:27:00,,,1.0,136.04,,MFL-A/XT,,1160.0,65000.0,,1342.0,1464.7,2033.7,,,,,,,210.0,10203.024552,ft,34.036,in,23.875999999999998,in,14.0,210.0,,True,True,False,10234.841794812133
9280.0,,0.344,-32.89,7.18,33474.55,metal loss,External,10.0,0.034,,,2.17,1.3,05:04:00,,,1.0,136.04,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,10203.042840000002,ft,55.117999999999995,in,33.019999999999996,in,10.0,150.0,,True,True,False,10234.860091599823
9280.0,,0.344,-32.95,7.12,33474.61,metal loss,External,22.0,0.076,,,0.79,1.34,04:26:00,,,1.0,136.05,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.86,2039.48,1540.36,2138.76,1540.92,2139.53,0.75,1.84,120.0,10203.061128000001,ft,20.066,in,34.036,in,22.0,120.0,,True,True,False,10234.878388387511
9280.0,,0.344,-33.18,6.89,33474.85,metal loss,External,23.0,0.079,,,0.67,1.14,04:05:00,,,1.0,136.06,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.75,2042.1,1542.46,2141.67,1542.92,2142.31,0.75,1.85,120.0,10203.13428,ft,17.018,in,28.955999999999996,in,23.0,120.0,,True,True,False,10234.951575538264
9280.0,,0.344,-33.27,6.8,33474.94,metal loss,External,10.0,0.034,,,0.35,0.59,04:55:00,,,1.0,136.06,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10203.161712000001,ft,8.889999999999999,in,14.985999999999999,in,10.0,120.0,,True,True,False,10234.979020719798
9280.0,,0.344,-33.3,6.77,33474.96,metal loss,External,15.0,0.052,,,0.75,1.61,07:59:00,,,1.0,136.07,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.98,2043.81,,,,,,,210.0,10203.167808,ft,19.049999999999997,in,40.894,in,15.0,210.0,,True,True,False,10234.985119649027
9280.0,,0.344,-33.52,6.55,33475.18,metal loss,External,12.0,0.041,,,0.43,0.79,07:58:00,,,1.0,136.08,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,10203.234864,ft,10.921999999999999,in,20.066,in,12.0,210.0,,True,True,False,10235.05220787055
9280.0,,0.344,-33.74,6.32,33475.41,metal loss,External,19.0,0.065,,,0.71,1.61,05:09:00,,,1.0,136.09,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.2,2042.72,,,,,,,150.0,10203.304968000002,ft,18.034,in,40.894,in,19.0,150.0,,True,True,False,10235.122345556692
9280.0,,0.344,-33.77,6.3,33475.43,metal loss,External,10.0,0.034,,,0.67,1.02,05:44:00,,,1.0,136.09,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,10203.311064000001,ft,17.018,in,25.907999999999998,in,10.0,150.0,,True,True,False,10235.128444485921
9280.0,,0.344,-33.94,6.13,33475.6,metal loss,External,28.0,0.096,,,0.79,1.18,07:57:00,,,1.0,136.1,,MFL-A/XT,,1160.0,65000.0,,1342.0,1466.42,2036.08,1537.47,2134.73,1538.59,2136.3,0.75,1.84,210.0,10203.36288,ft,20.066,in,29.971999999999998,in,28.0,210.0,,True,True,False,10235.180285384371
9280.0,,0.344,-34.35,5.71,33476.02,metal loss,External,12.0,0.041,,,0.59,1.1,03:48:00,,,1.0,136.12,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,90.0,10203.490896,ft,14.985999999999999,in,27.94,in,12.0,90.0,,True,True,False,10235.30836289819
9280.0,,0.344,-34.41,5.66,33476.08,metal loss,External,21.0,0.072,,,0.71,1.18,07:54:00,,,1.0,136.12,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.59,2041.88,1542.31,2141.46,1542.69,2141.99,0.75,1.85,210.0,10203.509184,ft,18.034,in,29.971999999999998,in,21.0,210.0,,True,True,False,10235.32665968588
9280.0,,0.344,-34.59,5.48,33476.26,cluster,External,23.0,0.079,,,2.75,1.78,05:06:00,,,1.0,136.13,,,,1160.0,65000.0,,1342.0,1414.46,1963.94,1475.71,2048.98,1489.62,2068.3,0.79,1.77,150.0,10203.564048000002,ft,69.85,in,45.211999999999996,in,23.0,150.0,,True,True,False,10235.381550048947
9280.0,,0.344,-34.66,5.41,33476.32,metal loss,External,48.0,0.165,,,0.75,1.46,04:11:00,,,1.0,136.14,,MFL-A/XT,,1160.0,65000.0,,1342.0,1457.96,2024.34,1526.39,2119.36,1530.0,2124.37,0.76,1.83,120.0,10203.582336000001,ft,19.049999999999997,in,37.083999999999996,in,48.0,120.0,,True,True,False,10235.399846836634
9280.0,,0.344,-34.9,5.17,33476.57,metal loss,External,17.0,0.058,,,0.51,1.22,04:20:00,,,1.0,136.15,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.82,2046.36,,,,,,,120.0,10203.658536,ft,12.953999999999999,in,30.987999999999996,in,17.0,120.0,,True,True,False,10235.476083452002
9280.0,,0.344,-35.08,4.99,33476.75,cluster,External,26.0,0.089,,,1.54,4.44,07:28:00,,,1.0,136.16,,,,1160.0,65000.0,,1342.0,1446.55,2008.5,1514.57,2102.94,1523.02,2114.67,0.77,1.81,210.0,10203.7134,ft,39.116,in,112.77600000000001,in,26.0,210.0,,True,True,False,10235.530973815068
9280.0,,0.344,-35.24,4.83,33476.9,metal loss,External,15.0,0.052,,,0.59,1.14,03:45:00,,,1.0,136.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.52,2045.95,,,,,,,90.0,10203.75912,ft,14.985999999999999,in,28.955999999999996,in,15.0,90.0,,True,True,False,10235.57671578429
9280.0,,0.344,-35.49,4.58,33477.16,metal loss,External,12.0,0.041,,,0.51,1.06,08:03:00,,,1.0,136.18,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,240.0,10203.838368000002,ft,12.953999999999999,in,26.924,in,12.0,240.0,,True,True,False,10235.656001864274
9280.0,,0.344,-35.7,4.37,33477.36,metal loss,External,11.0,0.038,,,0.87,0.63,04:13:00,,,1.0,136.19,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10203.899328000001,ft,22.098,in,16.002,in,11.0,120.0,,True,True,False,10235.716991156569
9280.0,,0.344,-35.71,4.36,33477.37,metal loss,External,12.0,0.041,,,1.97,3.03,04:18:00,,,1.0,136.19,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10203.902376000002,ft,50.038,in,76.96199999999999,in,12.0,120.0,,True,True,False,10235.720040621183
9280.0,,0.344,-35.83,4.24,33477.5,metal loss,External,14.0,0.048,,,0.83,1.26,07:10:00,,,1.0,136.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.41,2043.01,,,,,,,210.0,10203.942000000001,ft,21.081999999999997,in,32.004,in,14.0,210.0,,True,True,False,10235.759683661176
9280.0,,0.344,-35.83,4.24,33477.5,metal loss,External,11.0,0.038,,,0.55,1.14,07:52:00,,,1.0,136.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,10203.942000000001,ft,13.97,in,28.955999999999996,in,11.0,210.0,,True,True,False,10235.759683661176
9280.0,,0.344,-35.89,4.18,33477.56,metal loss,External,12.0,0.041,,,0.43,0.98,04:19:00,,,1.0,136.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10203.960288,ft,10.921999999999999,in,24.892,in,12.0,120.0,,True,True,False,10235.777980448864
9280.0,,0.344,-36.0,4.07,33477.66,metal loss,External,14.0,0.048,,,0.43,0.98,07:49:00,,,1.0,136.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.85,2047.79,,,,,,,210.0,10203.990768000001,ft,10.921999999999999,in,24.892,in,14.0,210.0,,True,True,False,10235.808475095011
9280.0,,0.344,-36.08,3.98,33477.75,metal loss,External,18.0,0.062,,,0.43,0.87,03:58:00,,,1.0,136.21,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.41,2047.18,,,,,,,90.0,10204.0182,ft,10.921999999999999,in,22.098,in,18.0,90.0,,True,True,False,10235.835920276544
9280.0,,0.344,-36.36,3.71,33478.02,metal loss,External,11.0,0.038,,,0.63,1.42,04:20:00,,,1.0,136.22,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10204.100496,ft,16.002,in,36.068,in,11.0,120.0,,True,True,False,10235.91825582114
9280.0,,0.344,-36.7,3.36,33478.37,metal loss,External,12.0,0.041,,,0.47,1.02,07:57:00,,,1.0,136.24,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,10204.207176000002,ft,11.937999999999999,in,25.907999999999998,in,12.0,210.0,,True,True,False,10236.02498708266
9280.0,,0.344,-38.19,1.88,33479.85,metal loss,External,11.0,0.038,,,0.35,0.59,04:25:00,,,1.0,136.32,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,10204.65828,ft,8.889999999999999,in,14.985999999999999,in,11.0,120.0,,True,True,False,10236.476307845642
9280.0,,,,,33480.07,Area Start Sleeve,,,,,,,,,2012 Dig #2,,,136.33,,,,,,,,,,,,,,,,,10204.725336000001,ft,,in,,in,,,,False,False,False,10236.543396067167
9280.0,,,,,33481.14,Area End Sleeve,,,,,,,,,2012 Dig #2,,,136.39,,,,,,,,,,,,,,,,,10205.051472000001,ft,,in,,in,,,,False,False,False,10236.869688780946
9290.0,40.02,0.344,,,33481.73,GirthWeld,,,,,,,,,,3.0,0.7,136.42,,,,1160.0,65000.0,,1342.0,,,,,,,,,,10205.231304,ft,,in,,in,,,,False,False,False,10237.049607193216
9290.0,,0.344,-0.64,39.38,33482.37,metal loss,External,12.0,0.041,,,2.09,1.73,11:58:00,,,0.7,136.45,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,330.0,10205.426376000001,ft,53.08599999999999,in,43.942,in,12.0,330.0,,True,True,False,10237.244772928561
9290.0,,0.344,-0.65,39.37,33482.38,metal loss,External,14.0,0.048,,,1.69,1.38,11:30:00,,,0.7,136.46,,MFL-A/XT,,1160.0,65000.0,,1342.0,1458.9,2025.64,,,,,,,330.0,10205.429424,ft,42.925999999999995,in,35.05199999999999,in,14.0,330.0,,True,True,False,10237.247822393174
9290.0,,0.344,-0.69,39.33,33482.42,metal loss,External,13.0,0.045,,,0.83,4.37,08:16:00,,,0.7,136.46,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.78,2043.53,,,,,,,240.0,10205.441616,ft,21.081999999999997,in,110.99799999999999,in,13.0,240.0,,True,True,False,10237.260020251633
9300.0,40.09,0.344,,,33521.75,GirthWeld,,,,,,,,,,15.0,1.0,139.02,,,,1160.0,65000.0,,1342.0,,,,,,,,,,10217.4294,ft,,in,,in,,,,False,False,False,10249.253564581468
9300.0,,0.344,-5.94,34.15,33527.69,metal loss,External,19.0,0.065,,,0.59,1.1,12:40:00,,,1.0,139.49,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.71,2044.82,,,,,,,0.0,10219.239912000001,ft,14.985999999999999,in,27.94,in,19.0,0.0,,True,True,False,10251.064946562634
9300.0,,0.344,-6.23,33.85,33527.99,metal loss,External,17.0,0.058,,,0.67,1.18,12:37:00,,,1.0,139.51,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.21,2044.13,,,,,,,0.0,10219.331352,ft,17.018,in,29.971999999999998,in,17.0,0.0,,True,True,False,10251.156430501074
9300.0,,0.344,-7.0,33.08,33528.75,metal loss,External,12.0,0.041,,,1.58,1.06,11:31:00,,,1.0,139.57,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,330.0,10219.563,ft,40.132,in,26.924,in,12.0,330.0,,True,True,False,10251.388189811796
9300.0,,0.344,-7.08,33.01,33528.83,metal loss,External,14.0,0.048,,,0.87,1.22,12:01:00,,,1.0,139.58,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.0,2042.45,,,,,,,0.0,10219.587384,ft,22.098,in,30.987999999999996,in,14.0,0.0,,True,True,False,10251.412585528715
9300.0,,0.344,-7.43,32.66,33529.18,metal loss,External,10.0,0.034,,,0.71,1.69,11:45:00,,,1.0,139.61,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,330.0,10219.694064000001,ft,18.034,in,42.925999999999995,in,10.0,330.0,,True,True,False,10251.519316790233
